TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
104.63,Debit,Omaha,ATM,62.0,Paruh Baya,90.0,1.0,4477.78,2,1
316.95,Debit,Mesa,Branch,25.0,Remaja,83.0,1.0,1324.03,3,1
60.540000000000006,Credit,Columbus,Branch,57.0,Paruh Baya,52.00000000000001,1.0,3534.93,2,3
292.56,Credit,Dallas,Branch,68.0,Paruh Baya,61.00000000000001,1.0,4638.37,1,3
386.52,Debit,Indianapolis,Branch,48.0,Lansia,28.0,1.0,5630.61,0,0
112.07,Debit,Kansas City,Branch,23.0,Remaja,51.00000000000001,1.0,930.3,3,0
568.52,Debit,Indianapolis,ATM,46.0,Lansia,151.99999999999997,1.0,5499.91,0,0
263.99,Debit,Dallas,Branch,79.0,Paruh Baya,227.0,2.0,4175.02,1,3
349.64,Debit,Las Vegas,Online,48.0,Lansia,226.0,1.0,6651.62,0,0
601.4,Credit,Philadelphia,Branch,56.0,Lansia,104.0,1.0,8458.29,2,1
5.77,Debit,Charlotte,Online,50.0,Dewasa,123.99999999999999,1.0,13988.12,2,3
201.33,Credit,Nashville,Branch,42.0,Lansia,186.0,1.0,2585.07,0,1
298.42,Debit,Indianapolis,Branch,56.0,Paruh Baya,225.0,1.0,3014.75,2,0
521.06,Debit,Albuquerque,Branch,25.0,Remaja,128.0,1.0,1951.42,3,3
117.28,Credit,Austin,Online,60.0,Lansia,16.0,1.0,3665.77,2,3
189.12,Credit,Indianapolis,nan,32.0,Lansia,103.0,1.0,977.01,3,0
133.55,Debit,Atlanta,ATM,44.0,Lansia,220.0,1.0,3846.2800000000007,0,3
143.21,Debit,Dallas,Online,35.0,Lansia,135.0,1.0,6374.82,0,3
24.77,Debit,Boston,ATM,62.0,Paruh Baya,55.0,1.0,5866.01,2,3
233.92,Credit,Jacksonville,Online,26.0,Remaja,280.0,1.0,6537.62,3,0
232.12,Debit,nan,ATM,37.0,Lansia,51.00000000000001,1.0,6689.87,0,2
297.65646754281164,Debit,Kansas City,Online,22.0,Remaja,113.0,1.0,634.17,3,0
91.53,Debit,Milwaukee,Branch,44.0,Dewasa,69.00000000000001,1.0,14676.05,0,1
120.29,Debit,Miami,Branch,19.0,Remaja,77.0,1.0,1362.39,3,1
174.25,Debit,Seattle,Online,50.0,Dewasa,67.0,1.0,10528.34,2,2
183.71,Debit,Denver,ATM,38.0,Lansia,102.0,1.0,552.52,0,3
345.39,Credit,Phoenix,nan,58.0,Lansia,80.0,1.0,6451.96,2,1
922.55,Debit,Detroit,ATM,63.0,Paruh Baya,87.0,1.0,4715.84,2,0
259.91,Debit,Denver,Online,49.0,Dewasa,170.0,1.0,7176.86,0,3
154.71,Debit,San Diego,Online,34.0,Dewasa,157.0,1.0,1523.72,0,2
24.56,Debit,Mesa,Branch,64.0,Dewasa,69.00000000000001,1.0,9869.93,2,1
568.07,nan,Washington,ATM,48.0,Dewasa,115.0,1.0,10556.81,0,2
9.61,Credit,San Diego,Online,58.0,Dewasa,179.0,1.0,12883.91,2,2
392.96,Debit,Kansas City,Online,24.0,Remaja,100.00000000000001,1.0,791.65,3,0
716.93,Credit,Milwaukee,Online,60.0,Paruh Baya,34.0,1.0,4064.02,2,1
230.66,Debit,Houston,Branch,21.0,Remaja,135.0,1.0,618.05,3,0
442.12,Debit,Los Angeles,Online,19.0,Remaja,260.0,1.1216216216216217,1375.8,3,0
644.17,Debit,San Antonio,ATM,29.0,Lansia,72.0,1.0,1143.52,3,2
508.67999999999995,Credit,Mesa,Branch,51.0,Lansia,127.0,1.0,7708.41,2,1
858.63,Credit,San Francisco,Branch,27.0,Remaja,185.0,1.0,1872.96,3,2
25.36,Debit,Louisville,ATM,57.0,Lansia,78.0,1.0,201.04,2,0
147.62,Debit,Charlotte,Branch,71.0,Paruh Baya,133.0,1.0,2115.8,1,3
115.02,Debit,San Antonio,Branch,37.0,Dewasa,175.0,1.0,7643.66,0,2
383.37,Debit,Fort Worth,Branch,30.0,Lansia,24.0,1.0,8901.93,3,0
98.54,Credit,El Paso,Online,20.0,Remaja,167.0,1.0,9383.43,3,0
83.24,nan,Fort Worth,Branch,55.0,Dewasa,164.0,1.0,1181.31,2,0
196.16,Debit,Virginia Beach,Branch,27.0,Lansia,146.0,1.0,9418.86,3,2
129.94,Debit,Las Vegas,ATM,32.0,Lansia,235.0,1.0,7954.919999999999,3,0
306.9,Debit,Colorado Springs,Online,46.0,Lansia,51.00000000000001,1.0,9418.08,0,3
114.98,Debit,Seattle,Online,59.0,Paruh Baya,80.0,1.0,6144.68,2,2
756.59,Debit,Sacramento,Branch,27.0,Remaja,17.0,1.0,420.65,3,2
503.76000000000005,Debit,Los Angeles,Online,22.0,Remaja,35.0,1.0,447.82,3,0
143.03,Debit,San Antonio,ATM,63.0,Paruh Baya,147.0,1.0,7981.450000000001,2,2
1045.22,Debit,Columbus,ATM,53.0,Paruh Baya,73.0,1.0,1829.9,2,3
245.54,nan,New York,ATM,25.0,Remaja,180.0,1.0,985.0600000000001,3,1
254.37000000000003,Credit,Dallas,Online,51.0,Lansia,174.0,1.0,8849.26,2,3
213.76,Credit,Dallas,ATM,78.0,Paruh Baya,282.0,1.0,3528.72,1,3
327.86,Debit,Fresno,Online,40.0,Lansia,104.0,1.0,480.16,0,0
2.5,Debit,San Diego,Online,47.0,Dewasa,107.0,1.0,12145.27,0,2
300.08,Credit,Austin,Online,68.0,Dewasa,47.0,1.0,13546.75,1,3
56.98,Credit,Oklahoma City,ATM,43.0,Lansia,122.0,2.0,5688.37,0,1
407.65,Debit,Boston,Online,26.0,Lansia,61.99999999999999,1.0,8346.64,3,3
115.83,Debit,Fresno,Branch,39.0,Lansia,167.0,1.0,6481.04,0,0
53.57,Debit,Houston,ATM,69.0,Paruh Baya,121.0,1.0,1651.33,1,0
63.34,Credit,Detroit,Online,46.0,Dewasa,165.0,1.0,11174.94,0,0
317.87,Debit,Detroit,Online,27.0,Remaja,91.0,1.0,145.5,3,0
331.65,Debit,Portland,Online,41.0,Lansia,61.00000000000001,1.0,4172.57,0,1
5.04,Debit,Washington,ATM,56.0,Paruh Baya,41.0,1.0,5558.36,2,2
214.54,Credit,Detroit,Online,70.0,Dewasa,247.0,1.0,11151.53,1,0
598.81,Debit,Philadelphia,Branch,57.0,Dewasa,158.0,1.0,1415.52,2,1
841.28,Debit,Tucson,Online,26.0,Remaja,80.0,1.0,1103.64,3,2
38.15,Debit,Mesa,Online,26.0,Remaja,107.99999999999999,1.0,303.68,3,1
1036.66,Debit,San Antonio,Branch,58.0,Dewasa,144.0,1.0,5541.57,2,2
124.72,Debit,Oklahoma City,Branch,33.0,Lansia,105.0,1.0,6309.8,3,1
302.45,Credit,San Antonio,Branch,78.0,Paruh Baya,40.0,1.0,5133.61,1,2
208.04,Debit,Louisville,Online,47.0,Lansia,273.0,1.0,9344.98,0,0
5.77,Credit,Los Angeles,Branch,23.0,Remaja,254.0,1.0,1117.97,3,0
381.33,Debit,Albuquerque,ATM,56.0,Dewasa,75.0,1.0,11835.35,2,3
16.16,Debit,Milwaukee,ATM,50.0,Dewasa,123.99999999999999,1.0,14401.17,2,1
486.0799999999999,Debit,Oklahoma City,Online,18.0,Remaja,68.00000000000001,1.0,1748.69,4,1
336.39,Debit,San Antonio,Branch,21.0,Remaja,18.0,1.0,1000.46,3,2
997.4299999999998,Debit,Seattle,Online,69.0,Dewasa,118.0,1.0,6810.05,1,2
234.57,Debit,Chicago,Online,23.0,Remaja,120.0,1.0,263.98,3,3
6.0,Debit,Chicago,Online,30.0,Dewasa,246.0,1.0,5442.76,3,3
1049.92,Debit,Detroit,ATM,80.0,Paruh Baya,21.000000000000004,1.0,2037.85,1,0
227.14,Debit,Charlotte,ATM,18.0,Remaja,294.0,1.0,341.94,4,3
233.74,Credit,Oklahoma City,Online,66.0,Paruh Baya,17.0,1.0,1066.59,1,1
297.65646754281164,Credit,Jacksonville,Branch,69.0,Paruh Baya,166.0,1.0,6077.96,1,0
45.85,Debit,Los Angeles,ATM,20.0,Remaja,91.99999999999999,1.0,1659.15,3,0
973.3899999999999,Debit,Sacramento,Branch,77.0,Paruh Baya,296.0,1.0,2042.22,1,2
415.5,Debit,Memphis,ATM,66.0,Dewasa,141.0,1.0,10113.66,1,1
265.76,Debit,Philadelphia,Online,54.0,Paruh Baya,91.99999999999999,1.0,4446.17,2,1
69.4,Debit,Virginia Beach,Online,80.0,Paruh Baya,113.0,1.0,6452.77,1,2
332.93,Credit,Albuquerque,Branch,35.0,Lansia,293.0,1.0,2788.2,0,3
267.9,Debit,San Antonio,Online,20.0,Remaja,160.0,1.0,596.1599999999999,3,2
496.0299999999999,Debit,San Francisco,Branch,61.0,Dewasa,265.0,1.0,12904.66,2,2
376.26,Debit,Tucson,ATM,37.0,Lansia,245.0,1.0,9062.4,0,2
83.02,Credit,Seattle,Online,36.0,Lansia,171.0,1.0,9009.56,0,2
93.26,Credit,New York,Online,20.0,Remaja,72.0,1.0,1152.2,3,1
803.37,Credit,Memphis,Branch,68.0,Dewasa,129.0,1.0,12168.37,1,1
35.76,Debit,Charlotte,Branch,23.0,Remaja,122.0,1.0,611.8599999999999,3,3
28.53,Debit,Washington,Online,62.0,Dewasa,99.0,1.0,8670.53,2,2
139.53,Credit,Louisville,Online,53.0,Dewasa,177.0,1.0,10098.86,2,0
307.57,Debit,Detroit,Branch,33.0,Dewasa,285.0,1.0,5307.74,3,0
60.650000000000006,Credit,Tucson,Branch,56.0,Paruh Baya,53.00000000000001,1.0,1047.28,2,2
74.86,Debit,Nashville,Branch,70.0,Dewasa,125.0,1.0,6921.48,1,1
297.65646754281164,Debit,Kansas City,Branch,51.0,Paruh Baya,137.0,1.0,1475.46,2,0
231.91,Debit,Memphis,ATM,34.0,Lansia,165.0,1.0,112.76,0,1
126.20999999999998,Debit,Baltimore,Branch,75.0,Paruh Baya,268.0,1.0,5669.66,1,3
506.28,Credit,Chicago,Online,53.0,Paruh Baya,162.0,2.0,1309.95,2,3
304.35,Debit,Houston,Branch,31.0,Lansia,36.0,1.0,4057.1,3,0
281.85,Debit,Detroit,ATM,22.0,Remaja,109.0,1.0,1585.98,3,0
777.88,Debit,Houston,Branch,31.0,Lansia,17.0,1.0,6825.55,3,0
119.18,Debit,Los Angeles,Branch,56.0,Paruh Baya,96.0,1.0,5516.5,2,0
177.19,Debit,Chicago,Online,76.0,Paruh Baya,43.0,1.0,5343.3,1,3
260.88,Debit,Denver,Branch,22.0,Remaja,36.0,1.0,903.05,3,3
169.47,Debit,Chicago,Online,24.0,Remaja,18.999999999999996,1.0,1806.16,3,3
73.23,Debit,Portland,Branch,26.0,Remaja,14.0,1.0,787.7399999999999,3,1
792.57,Debit,Baltimore,ATM,19.0,Remaja,164.0,1.0,770.37,3,3
237.06,Debit,Phoenix,Online,71.0,Paruh Baya,45.99999999999999,1.0,1182.77,1,1
34.17,Credit,Philadelphia,Online,54.0,Lansia,53.99999999999999,1.0,726.55,2,1
740.25,Debit,Philadelphia,Online,41.0,Dewasa,123.0,1.0,14464.3,0,1
453.54,Debit,Albuquerque,ATM,58.0,Dewasa,82.0,1.0,12046.3,2,3
300.47,Debit,Jacksonville,Branch,73.0,Paruh Baya,100.00000000000001,1.0,7885.64,1,0
110.93,Credit,Virginia Beach,Branch,19.0,Remaja,201.0,1.0,1952.3499999999997,3,2
201.69,Debit,Las Vegas,ATM,59.0,Dewasa,299.0,1.0,7328.52,2,0
399.21,Debit,Portland,ATM,59.0,Lansia,109.0,1.0,3210.39,2,1
1041.88,Debit,Jacksonville,Online,78.0,Paruh Baya,57.0,1.0,5726.2,1,0
630.36,Debit,Mesa,ATM,62.0,Paruh Baya,52.00000000000001,1.0,1363.65,2,1
10.94,Credit,Philadelphia,ATM,60.0,Lansia,245.0,1.0,1241.99,2,1
215.9,Debit,Los Angeles,ATM,38.0,Dewasa,235.0,1.0,7873.280000000001,0,0
226.37,nan,Louisville,Branch,49.0,Dewasa,141.0,1.0,9840.04,0,0
444.89,Credit,Las Vegas,Branch,43.0,Dewasa,101.0,1.0,10328.23,0,0
280.57,Credit,Virginia Beach,Online,25.0,Remaja,24.0,1.0,293.24,3,2
488.54,Debit,Jacksonville,Branch,52.0,Lansia,132.0,1.0,7486.63,2,0
3.3,Credit,Los Angeles,Branch,50.0,Dewasa,131.0,1.0,11385.37,2,0
199.39,nan,Colorado Springs,Branch,69.0,Paruh Baya,165.0,1.0,7264.79,1,3
20.36,Debit,Tucson,Branch,62.0,Paruh Baya,75.0,1.0,2762.48,2,2
113.64,Debit,Detroit,Online,44.67844382691544,Paruh Baya,32.0,1.0,6675.03,0,0
493.11,Debit,Colorado Springs,Branch,53.0,Paruh Baya,236.0,1.0,7432.99,2,3
307.41,Debit,Los Angeles,ATM,19.0,Remaja,14.0,1.0,1057.0,3,0
11.18,Debit,Atlanta,Online,43.0,Dewasa,161.0,1.0,5956.89,0,3
313.82,Debit,Tucson,Branch,59.0,Lansia,151.0,1.0,7261.59,2,2
51.0,Debit,Seattle,Branch,64.0,Paruh Baya,107.0,1.1216216216216217,4943.16,2,2
140.98,Debit,Memphis,Branch,60.0,Lansia,100.00000000000001,1.0,8127.4800000000005,2,1
288.04,Debit,Denver,ATM,68.0,Paruh Baya,63.0,1.0,1748.02,1,3
800.55,Debit,Oklahoma City,ATM,31.0,Lansia,107.99999999999999,1.0,9660.22,3,1
485.54,Debit,Houston,ATM,46.0,Lansia,143.0,1.0,6371.51,0,0
521.15,Debit,Kansas City,ATM,54.0,Dewasa,214.0,1.0,9442.47,2,0
321.79,Credit,Raleigh,ATM,63.0,Paruh Baya,119.42293906810038,1.0,5959.2,2,2
304.93,Debit,Portland,ATM,65.0,Dewasa,158.0,1.0,13531.22,1,1
432.08,nan,El Paso,ATM,40.0,Dewasa,145.0,1.0,11500.62,0,0
694.2,Debit,Milwaukee,ATM,61.0,Paruh Baya,72.0,1.0,1389.37,2,1
116.86,Debit,Louisville,ATM,55.0,Lansia,171.0,1.0,6706.56,2,0
297.65646754281164,Credit,Detroit,nan,57.0,Dewasa,149.0,1.0,7175.29,2,0
74.88,Debit,Atlanta,ATM,25.0,Remaja,202.0,1.0,420.67,3,3
297.65646754281164,Debit,Philadelphia,Branch,75.0,Paruh Baya,99.0,1.0,7323.53,1,1
134.7,Debit,Fort Worth,ATM,50.0,Dewasa,106.0,1.1216216216216217,8395.85,2,0
890.24,Credit,Las Vegas,Online,33.0,Lansia,161.0,1.0,5140.93,3,0
361.27,Debit,Omaha,ATM,63.0,Dewasa,180.0,1.0,7945.57,2,1
131.56,Debit,Charlotte,Branch,44.0,Dewasa,42.00000000000001,1.0,5873.54,0,3
485.51,Credit,Milwaukee,Online,76.0,Paruh Baya,37.0,1.0,3074.45,1,1
547.87,Debit,Columbus,ATM,64.0,Paruh Baya,131.0,1.0,6155.76,2,3
457.3,Debit,Virginia Beach,Online,28.0,Lansia,15.0,1.0,8318.29,3,2
506.24,Debit,Chicago,ATM,58.0,Lansia,64.0,1.0,230.09,2,3
486.59,Debit,Indianapolis,Branch,57.0,Paruh Baya,119.0,1.0,2513.56,2,0
163.68,Debit,San Diego,Branch,41.0,Dewasa,292.0,1.0,10090.05,0,2
581.65,Debit,Boston,ATM,22.0,Remaja,176.0,1.0,480.19000000000005,3,3
52.01,Debit,Mesa,ATM,48.0,Dewasa,85.0,1.0,1120.88,0,1
630.24,Debit,Boston,ATM,21.0,Remaja,61.99999999999999,1.0,370.81,3,3
523.74,Debit,Oklahoma City,ATM,43.0,Dewasa,159.0,1.0,13498.55,0,1
217.5,Credit,Denver,Branch,46.0,Lansia,35.0,1.0,3057.4,0,3
91.48,Debit,Fort Worth,ATM,51.0,Dewasa,141.0,1.0,14942.779999999999,2,0
5.25,Debit,San Jose,ATM,39.0,Dewasa,49.0,1.0,14143.32,0,2
54.03,Credit,Milwaukee,ATM,56.0,Paruh Baya,161.0,1.0,6736.3,2,1
736.73,Debit,Memphis,Branch,48.0,Lansia,10.0,1.0,3313.07,0,1
368.91,nan,Virginia Beach,Branch,54.0,Dewasa,14.0,1.0,829.7099999999999,2,2
33.06,Credit,Fort Worth,Online,53.0,Paruh Baya,170.0,1.0,1540.87,2,0
66.5,Credit,Louisville,Online,32.0,Lansia,144.0,1.0,6820.23,3,0
177.08,Debit,Las Vegas,nan,35.0,Dewasa,85.0,1.0,13475.14,0,0
588.54,Debit,Portland,Branch,32.0,Lansia,130.0,1.0,714.4499999999999,3,1
173.5,Debit,Nashville,ATM,21.0,Remaja,282.0,1.0,1306.91,3,1
78.33,Credit,Memphis,Online,56.0,Lansia,189.0,1.0,7255.33,2,1
40.66,Debit,Louisville,Branch,59.0,Paruh Baya,156.0,1.0,1153.84,2,0
97.22,Credit,Atlanta,Branch,77.0,Paruh Baya,55.0,1.0,6647.73,1,3
34.07,Debit,Philadelphia,Branch,22.0,Remaja,81.0,1.0,8709.77,3,1
492.06000000000006,Debit,Fresno,Online,23.0,Remaja,74.0,1.0,857.9,3,0
842.01,Credit,Virginia Beach,Online,53.0,Dewasa,185.0,1.0,509.45000000000005,2,2
73.55,Debit,Atlanta,ATM,51.0,Lansia,158.0,1.0,2812.06,2,3
760.53,Debit,Phoenix,Online,57.0,Lansia,118.0,1.0,6179.91,2,1
273.08,Credit,Houston,Branch,44.67844382691544,Lansia,134.0,1.0,6609.3,0,0
371.69,Debit,San Francisco,Branch,67.0,Paruh Baya,143.0,1.0,3484.32,1,2
218.96,Debit,Seattle,ATM,18.0,Remaja,13.0,1.0,754.21,4,2
227.39,Debit,Atlanta,Online,18.0,Remaja,65.0,1.0,751.09,4,3
237.99,Credit,Kansas City,Branch,39.0,Dewasa,86.0,1.0,8510.09,0,0
186.6,Debit,nan,Online,58.0,Dewasa,13.0,1.0,1508.72,2,2
341.15,Debit,San Jose,Online,18.0,Remaja,148.0,1.0,511.36999999999995,4,2
434.58,Debit,Memphis,ATM,59.0,Dewasa,215.0,1.0,12648.32,2,1
312.88,Credit,Portland,Branch,54.0,Lansia,44.0,1.0,233.21,2,1
75.15,Debit,Boston,ATM,23.0,Remaja,154.0,1.0,1092.92,3,3
23.3,Debit,Los Angeles,ATM,59.0,Lansia,161.0,1.0,6711.15,2,0
47.38,Credit,Seattle,Online,25.0,Remaja,61.00000000000001,1.0,459.37,3,2
512.81,Debit,Sacramento,Branch,79.0,Paruh Baya,30.0,1.0,6994.34,1,2
488.15000000000003,Debit,Louisville,Branch,43.0,Lansia,168.00000000000003,1.0,7071.09,0,0
12.82,Debit,Fort Worth,ATM,44.0,Lansia,156.0,1.0,9045.19,0,0
535.91,Debit,Las Vegas,Online,43.0,Lansia,22.0,1.0,9642.12,0,0
270.72,Credit,Washington,Online,26.0,Lansia,53.00000000000001,1.0,6263.96,3,2
97.98,Debit,Denver,Branch,72.0,Paruh Baya,18.0,1.0,7460.329999999999,1,3
196.08,Debit,San Francisco,Online,61.0,Paruh Baya,98.0,1.0,4233.82,2,2
251.18000000000004,Debit,San Jose,ATM,42.0,Lansia,246.0,1.0,8303.9,0,2
44.52,Debit,El Paso,Online,28.0,Remaja,205.0,1.0,314.28,3,0
178.87,Debit,Baltimore,Online,35.0,Dewasa,180.0,1.0,5241.23,0,3
386.68,Debit,New York,Branch,46.0,Dewasa,128.0,1.0,6863.06,0,1
167.14,Debit,Denver,Online,76.0,Paruh Baya,20.0,1.0,3877.7299999999996,1,3
345.22,Debit,Fresno,Branch,69.0,Paruh Baya,253.0,1.0,4046.5800000000004,1,0
74.85,Debit,Raleigh,ATM,72.0,Paruh Baya,117.0,1.0,2409.73,1,2
671.73,Debit,Washington,Branch,58.0,Lansia,53.99999999999999,1.0,5211.88,2,2
255.03999999999996,Debit,Seattle,ATM,45.0,Lansia,151.99999999999997,1.0,6217.86,0,2
45.77,Debit,Philadelphia,Online,25.0,Remaja,109.0,1.0,5978.12,3,1
329.69,Credit,San Antonio,Online,26.0,Remaja,66.0,1.0,1671.66,3,2
362.04,Credit,Philadelphia,Branch,58.0,Dewasa,198.0,2.0,8421.88,2,1
11.92,Debit,San Diego,nan,53.0,Dewasa,52.00000000000001,1.0,14611.9,2,2
47.42,Debit,San Diego,ATM,64.0,Dewasa,28.0,1.0,8253.52,2,2
35.99,Debit,Miami,Branch,63.0,Paruh Baya,129.0,1.0,4489.79,2,1
151.19,Credit,New York,Branch,37.0,Dewasa,96.0,1.0,11903.82,0,1
242.62,Credit,San Francisco,Online,22.0,Remaja,234.0,1.0,483.02000000000004,3,2
48.72,Debit,Virginia Beach,Branch,21.0,Remaja,17.0,1.0,816.0799999999999,3,2
43.46,Debit,Boston,ATM,25.0,Remaja,80.0,1.0,578.06,3,3
1036.21,Debit,Omaha,Online,25.0,Remaja,126.0,1.0,477.3,3,1
443.79,Debit,Las Vegas,ATM,53.0,Paruh Baya,87.0,1.0,3133.85,2,0
365.14,Debit,Dallas,Online,68.0,Paruh Baya,57.0,1.0,5894.09,1,3
757.41,Debit,Los Angeles,ATM,22.0,Remaja,37.0,1.0,9532.42,3,0
20.54,Debit,Fort Worth,Branch,51.0,Lansia,72.0,1.0,5327.03,2,0
475.36,Debit,Phoenix,ATM,34.0,Lansia,105.0,1.0,2000.6,0,1
34.74,Debit,San Francisco,ATM,56.0,Paruh Baya,24.0,1.0,6827.57,2,2
689.54,Debit,Oklahoma City,Branch,27.0,Remaja,93.0,1.0,1633.76,3,1
211.18,Debit,Washington,ATM,73.0,Paruh Baya,90.0,1.0,4069.1699999999996,1,2
211.36,Credit,Fort Worth,Branch,51.0,Lansia,286.0,1.0,7943.469999999999,2,0
744.41,Credit,Houston,Online,39.0,Lansia,107.0,1.0,8842.47,0,0
61.43,Debit,Phoenix,Online,24.0,Remaja,170.0,1.0,1882.77,3,1
167.44,Debit,Mesa,Branch,37.0,Dewasa,82.0,1.0,12526.71,0,1
361.46,Debit,Nashville,Online,21.0,Remaja,83.0,1.0,4737.84,3,1
378.85,Debit,Virginia Beach,Branch,78.0,Paruh Baya,126.0,1.0,2300.53,1,2
241.10999999999999,Debit,Columbus,Branch,30.0,Dewasa,55.0,1.0,12385.05,3,3
131.93,Credit,Fort Worth,Branch,31.0,Lansia,13.0,1.0,4547.06,3,0
20.28,Debit,Oklahoma City,Online,36.0,Lansia,213.0,1.0,2047.83,0,1
415.88,Debit,San Diego,Branch,70.0,Dewasa,170.0,1.0,10008.33,1,2
49.99,Debit,Omaha,ATM,62.0,Paruh Baya,119.42293906810038,1.0,2299.64,2,1
100.66,Debit,Dallas,Branch,50.0,Dewasa,144.0,1.0,14473.33,2,3
485.54,Debit,Louisville,Online,19.0,Remaja,148.0,1.0,1533.32,3,0
321.15,Debit,Los Angeles,Branch,46.0,Dewasa,179.0,1.0,7005.05,0,0
711.3,Debit,San Jose,Branch,21.0,Remaja,51.00000000000001,1.0,955.4,3,2
12.23,Debit,Houston,ATM,42.0,Lansia,139.0,1.0,7844.880000000001,0,0
